Job_ID,Job_Title,Candidate_ID,Similarity_Score
101,Data Science Intern,13520837.0,0.17531148170134517
101,Data Science Intern,18297650.0,0.146390864444316
101,Data Science Intern,26958533.0,0.12516010055335025
101,Data Science Intern,17864043.0,0.11878394551636844
101,Data Science Intern,34953092.0,0.09712235087062039
102,Software Developer Intern,83816738.0,0.24515645652376933
102,Software Developer Intern,18297650.0,0.16318751890231906
102,Software Developer Intern,13520837.0,0.16038852530168168
102,Software Developer Intern,22615491.0,0.1398751205663305
102,Software Developer Intern,85101052.0,0.13834543415246056
103,Business Analyst Intern,30863060.0,0.2814730513264782
103,Business Analyst Intern,13520837.0,0.26326206525710644
103,Business Analyst Intern,13385306.0,0.2612635790182353
103,Business Analyst Intern,36434348.0,0.24000259673986482
103,Business Analyst Intern,18297650.0,0.23773376260307602
104,Web Developer Intern,13520837.0,0.20450954964355497
104,Web Developer Intern,18297650.0,0.1716014224197746
104,Web Developer Intern,51588273.0,0.14144801222776854
104,Web Developer Intern,17864043.0,0.13955459830660177
104,Web Developer Intern,14640322.0,0.11289222978493843
105,Machine Learning Intern,13520837.0,0.17015268368855999
105,Machine Learning Intern,18297650.0,0.15336681601653787
105,Machine Learning Intern,62994611.0,0.14635490634635676
105,Machine Learning Intern,17864043.0,0.11610992965528541
105,Machine Learning Intern,11813872.0,0.10497316495382263
